Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std,Accuracy Mean ± Std,F1 Mean ± Std,Total_Time_Seconds
dataset_1,1.0,0.0,1.0,0.0,1.0000 ± 0.0000,1.0000 ± 0.0000,6.95
dataset_2,0.9599,0.0063,0.5942,0.0338,0.9599 ± 0.0063,0.5942 ± 0.0338,2.88
dataset_3,0.89,0.0071,0.5807,0.027,0.8900 ± 0.0071,0.5807 ± 0.0270,3.91
dataset_4,0.8601,0.0119,0.4942,0.0485,0.8601 ± 0.0119,0.4942 ± 0.0485,4.89
dataset_5,0.9999,0.0003,0.9982,0.0056,0.9999 ± 0.0003,0.9982 ± 0.0056,3.35
dataset_6,0.9999,0.0003,0.9982,0.0056,0.9999 ± 0.0003,0.9982 ± 0.0056,3.72
dataset_7,1.0,0.0,1.0,0.0,1.0000 ± 0.0000,1.0000 ± 0.0000,3.36
dataset_8,1.0,0.0,1.0,0.0,1.0000 ± 0.0000,1.0000 ± 0.0000,3.27
dataset_9,0.9833,0.0046,0.8698,0.0452,0.9833 ± 0.0046,0.8698 ± 0.0452,34.49
dataset_10,0.9388,0.0075,0.4646,0.0337,0.9388 ± 0.0075,0.4646 ± 0.0337,38.48
dataset_11,0.856,0.0082,0.2134,0.0328,0.8560 ± 0.0082,0.2134 ± 0.0328,58.68
dataset_12,0.8087,0.0039,0.118,0.0149,0.8087 ± 0.0039,0.1180 ± 0.0149,61.37
dataset_13,0.9806,0.0041,0.8599,0.0435,0.9806 ± 0.0041,0.8599 ± 0.0435,68.12
dataset_14,0.9806,0.0041,0.8599,0.0435,0.9806 ± 0.0041,0.8599 ± 0.0435,67.39
dataset_15,0.9801,0.0046,0.8472,0.0525,0.9801 ± 0.0046,0.8472 ± 0.0525,66.73
dataset_16,0.9801,0.0046,0.8472,0.0525,0.9801 ± 0.0046,0.8472 ± 0.0525,62.57
