Dataset,Fold,Accuracy,F1,Best_Max_Depth,Best_Min_Split,Best_Criterion,Parameters,Fold_Time_Seconds
dataset_16,1,0.9772,0.7859,,5,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5}",2.32
dataset_16,2,0.9844,0.8518,,5,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5}",2.32
dataset_16,3,0.9796,0.8884,,5,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}",2.36
dataset_16,4,0.982,0.8669,,5,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}",2.48
dataset_16,5,0.9736,0.8005,,5,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5}",2.29
dataset_16,6,0.9844,0.8628,10.0,2,entropy,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",2.2
dataset_16,7,0.9748,0.8245,,10,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10}",2.33
dataset_16,8,0.9784,0.8455,,2,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",2.11
dataset_16,9,0.976,0.7986,,5,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}",2.21
dataset_16,10,0.9844,0.9119,,5,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5}",2.18
