Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std,Accuracy Mean ± Std,F1 Mean ± Std,Total_Time_Seconds
dataset_1,0.9878,0.0057,0.854,0.1281,0.9878 ± 0.0057,0.8540 ± 0.1281,22.22
dataset_2,0.9547,0.0064,0.5673,0.0349,0.9547 ± 0.0064,0.5673 ± 0.0349,5.68
dataset_3,0.889,0.009,0.582,0.0248,0.8890 ± 0.0090,0.5820 ± 0.0248,5.86
dataset_4,0.8632,0.0069,0.4946,0.0375,0.8632 ± 0.0069,0.4947 ± 0.0375,5.8
dataset_5,0.986,0.0038,0.9748,0.0087,0.9860 ± 0.0038,0.9748 ± 0.0087,6.43
dataset_6,0.986,0.0038,0.9748,0.0087,0.9860 ± 0.0038,0.9748 ± 0.0087,6.05
dataset_7,0.9874,0.0024,0.8308,0.127,0.9874 ± 0.0024,0.8308 ± 0.1270,5.91
dataset_8,0.9874,0.0024,0.8308,0.127,0.9874 ± 0.0024,0.8308 ± 0.1270,5.93
dataset_9,0.9581,0.0089,0.812,0.0592,0.9581 ± 0.0089,0.8120 ± 0.0592,46.39
dataset_10,0.926,0.0083,0.4594,0.024,0.9260 ± 0.0083,0.4594 ± 0.0240,58.54
dataset_11,0.8476,0.0095,0.1887,0.0207,0.8476 ± 0.0095,0.1887 ± 0.0207,64.23
dataset_12,0.8044,0.0087,0.1052,0.0164,0.8044 ± 0.0087,0.1052 ± 0.0164,63.55
dataset_13,0.9522,0.0096,0.8348,0.0475,0.9522 ± 0.0096,0.8348 ± 0.0475,61.35
dataset_14,0.9522,0.0096,0.8348,0.0475,0.9522 ± 0.0096,0.8348 ± 0.0475,53.58
dataset_15,0.9638,0.0083,0.8382,0.0342,0.9638 ± 0.0083,0.8382 ± 0.0342,47.92
dataset_16,0.9638,0.0083,0.8382,0.0342,0.9638 ± 0.0083,0.8382 ± 0.0342,44.41
