Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_2,1,0.9583,0.5917,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",0.71
dataset_2,2,0.9447,0.5444,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.49
dataset_2,3,0.9552,0.5204,9,manhattan,"{'metric': 'manhattan', 'n_neighbors': 9}",0.42
dataset_2,4,0.9478,0.5301,9,euclidean,"{'metric': 'euclidean', 'n_neighbors': 9}",0.4
dataset_2,5,0.953,0.5836,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",0.44
dataset_2,6,0.9656,0.6226,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.59
dataset_2,7,0.952,0.5778,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",0.54
dataset_2,8,0.9635,0.5884,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",0.72
dataset_2,9,0.953,0.5901,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",0.7
dataset_2,10,0.9541,0.5243,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",0.66
