Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std,Accuracy Mean ± Std,F1 Mean ± Std,Total_Time_Seconds
dataset_1,0.9997,0.0007,0.9997,0.0007,0.9997 ± 0.0007,0.9997 ± 0.0007,151.8
dataset_2,0.9614,0.0071,0.5851,0.0543,0.9614 ± 0.0071,0.5851 ± 0.0543,119.49
dataset_3,0.8963,0.0075,0.5929,0.0244,0.8963 ± 0.0075,0.5929 ± 0.0244,172.26
dataset_4,0.8695,0.0048,0.509,0.0178,0.8695 ± 0.0048,0.5090 ± 0.0178,156.9
dataset_5,0.9997,0.0007,0.9997,0.0007,0.9997 ± 0.0007,0.9997 ± 0.0007,125.99
dataset_6,0.9997,0.0007,0.9997,0.0007,0.9997 ± 0.0007,0.9997 ± 0.0007,126.46
dataset_7,0.999,0.0018,0.999,0.0018,0.9990 ± 0.0018,0.9990 ± 0.0018,132.0
dataset_8,0.999,0.0018,0.999,0.0018,0.9990 ± 0.0018,0.9990 ± 0.0018,136.33
dataset_9,0.99,0.0025,0.9252,0.0301,0.9900 ± 0.0025,0.9252 ± 0.0301,279.74
dataset_10,0.9476,0.0043,0.5075,0.0324,0.9476 ± 0.0043,0.5075 ± 0.0324,302.49
dataset_11,0.86,0.0086,0.2087,0.031,0.8600 ± 0.0086,0.2087 ± 0.0310,338.64
dataset_12,0.8139,0.004,0.1131,0.0202,0.8139 ± 0.0040,0.1131 ± 0.0202,321.83
dataset_13,0.9888,0.0029,0.9175,0.029,0.9888 ± 0.0029,0.9175 ± 0.0290,272.4
dataset_14,0.9888,0.0029,0.9175,0.029,0.9888 ± 0.0029,0.9175 ± 0.0290,281.49
dataset_15,0.9892,0.0021,0.9277,0.0242,0.9892 ± 0.0021,0.9277 ± 0.0242,281.92
dataset_16,0.9892,0.0021,0.9277,0.0242,0.9892 ± 0.0021,0.9277 ± 0.0242,283.74
