Dataset,Fold,Accuracy,F1,Best_Kernel,Best_C,Best_Gamma,Parameters,Fold_Time_Seconds
dataset_7,1,0.976,0.7221,rbf,10,scale,"{'kernel': 'rbf', 'C': 10, 'gamma': 'scale'}",7.45
dataset_7,2,0.9718,0.7131,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",10.72
dataset_7,3,0.9844,0.9843,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",6.26
dataset_7,4,0.9812,0.9572,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",9.22
dataset_7,5,0.9812,0.9746,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",7.13
dataset_7,6,0.9812,0.981,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",8.59
dataset_7,7,0.9843,0.9843,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",8.06
dataset_7,8,0.9823,0.9821,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",10.75
dataset_7,9,0.9781,0.9733,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",5.06
dataset_7,10,0.976,0.9753,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",8.68
