Dataset,Classifier,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std,Accuracy Mean ± Std,F1 Mean ± Std,Avg_Features_Before,Avg_Features_After,Total_Time_Seconds
dataset_1,SVM,0.9818,0.0053,0.8274,0.1284,0.9818 ± 0.0053,0.8274 ± 0.1284,19,2.9,1540.37
dataset_1,KNN,0.9995,0.001,0.9472,0.1094,0.9995 ± 0.0010,0.9472 ± 0.1094,19,2.9,1540.38
dataset_1,DT,1.0,0.0,1.0,0.0,1.0000 ± 0.0000,1.0000 ± 0.0000,19,2.9,1540.39
dataset_1,RF,1.0,0.0,1.0,0.0,1.0000 ± 0.0000,1.0000 ± 0.0000,19,2.9,1540.4
dataset_1,MLP,0.9943,0.0068,0.8397,0.1278,0.9943 ± 0.0068,0.8397 ± 0.1278,19,2.9,1540.41
dataset_2,SVM,0.9388,0.007,0.4717,0.03,0.9388 ± 0.0070,0.4717 ± 0.0300,19,7.8,1611.43
dataset_2,KNN,0.9535,0.0061,0.5652,0.0427,0.9535 ± 0.0061,0.5652 ± 0.0427,19,7.8,1611.44
dataset_2,DT,0.9587,0.0076,0.6013,0.0454,0.9587 ± 0.0076,0.6013 ± 0.0454,19,7.8,1611.45
dataset_2,RF,0.9625,0.0055,0.5989,0.0556,0.9625 ± 0.0055,0.5989 ± 0.0556,19,7.8,1611.46
dataset_2,MLP,0.9496,0.0069,0.4812,0.0312,0.9496 ± 0.0069,0.4812 ± 0.0312,19,7.8,1611.46
dataset_3,SVM,0.8726,0.0095,0.4574,0.0377,0.8726 ± 0.0095,0.4574 ± 0.0377,19,7.5,2804.61
dataset_3,KNN,0.8832,0.0102,0.5706,0.0275,0.8832 ± 0.0102,0.5706 ± 0.0275,19,7.5,2804.62
dataset_3,DT,0.8915,0.0075,0.5904,0.028,0.8915 ± 0.0075,0.5904 ± 0.0280,19,7.5,2804.64
dataset_3,RF,0.8946,0.0096,0.5883,0.0332,0.8946 ± 0.0096,0.5883 ± 0.0332,19,7.5,2804.65
dataset_3,MLP,0.8829,0.0084,0.5347,0.0401,0.8829 ± 0.0084,0.5347 ± 0.0401,19,7.5,2804.67
dataset_4,SVM,0.8574,0.006,0.3762,0.0179,0.8574 ± 0.0060,0.3762 ± 0.0179,19,8.7,1489.03
dataset_4,KNN,0.8612,0.0091,0.4856,0.0238,0.8612 ± 0.0091,0.4856 ± 0.0238,19,8.7,1489.03
dataset_4,DT,0.8609,0.0087,0.4857,0.0355,0.8609 ± 0.0087,0.4857 ± 0.0355,19,8.7,1489.04
dataset_4,RF,0.87,0.0058,0.5095,0.0205,0.8700 ± 0.0058,0.5095 ± 0.0205,19,8.7,1489.05
dataset_4,MLP,0.8574,0.0093,0.3974,0.0525,0.8574 ± 0.0093,0.3974 ± 0.0525,19,8.7,1489.06
dataset_5,SVM,0.9742,0.0056,0.7231,0.0084,0.9742 ± 0.0056,0.7231 ± 0.0084,19,2.8,910.49
dataset_5,KNN,0.9991,0.0016,0.986,0.0251,0.9991 ± 0.0016,0.9860 ± 0.0251,19,2.8,910.5
dataset_5,DT,0.9999,0.0003,0.9982,0.0056,0.9999 ± 0.0003,0.9982 ± 0.0056,19,2.8,910.51
dataset_5,RF,0.9999,0.0003,0.9982,0.0056,0.9999 ± 0.0003,0.9982 ± 0.0056,19,2.8,910.51
dataset_5,MLP,0.9852,0.0069,0.7308,0.0142,0.9852 ± 0.0069,0.7308 ± 0.0142,19,2.8,910.52
dataset_6,SVM,0.9742,0.0056,0.7231,0.0084,0.9742 ± 0.0056,0.7231 ± 0.0084,19,2.8,925.94
dataset_6,KNN,0.9991,0.0016,0.986,0.0251,0.9991 ± 0.0016,0.9860 ± 0.0251,19,2.8,925.95
dataset_6,DT,0.9999,0.0003,0.9982,0.0056,0.9999 ± 0.0003,0.9982 ± 0.0056,19,2.8,925.96
dataset_6,RF,0.9999,0.0003,0.9982,0.0056,0.9999 ± 0.0003,0.9982 ± 0.0056,19,2.8,925.97
dataset_6,MLP,0.9852,0.0069,0.7308,0.0142,0.9852 ± 0.0069,0.7308 ± 0.0142,19,2.8,925.98
dataset_7,SVM,0.975,0.0062,0.771,0.1074,0.9751 ± 0.0062,0.7711 ± 0.1074,19,3.2,929.53
dataset_7,KNN,0.9982,0.0013,0.8413,0.132,0.9982 ± 0.0013,0.8413 ± 0.1320,19,3.2,929.54
dataset_7,DT,1.0,0.0,1.0,0.0,1.0000 ± 0.0000,1.0000 ± 0.0000,19,3.2,929.55
dataset_7,RF,1.0,0.0,1.0,0.0,1.0000 ± 0.0000,1.0000 ± 0.0000,19,3.2,929.55
dataset_7,MLP,0.9939,0.0065,0.7898,0.1082,0.9939 ± 0.0065,0.7898 ± 0.1082,19,3.2,929.56
dataset_8,SVM,0.975,0.0062,0.771,0.1074,0.9751 ± 0.0062,0.7711 ± 0.1074,19,3.2,930.09
dataset_8,KNN,0.9982,0.0013,0.8413,0.132,0.9982 ± 0.0013,0.8413 ± 0.1320,19,3.2,930.1
dataset_8,DT,1.0,0.0,1.0,0.0,1.0000 ± 0.0000,1.0000 ± 0.0000,19,3.2,930.11
dataset_8,RF,1.0,0.0,1.0,0.0,1.0000 ± 0.0000,1.0000 ± 0.0000,19,3.2,930.12
dataset_8,MLP,0.9939,0.0065,0.7898,0.1082,0.9939 ± 0.0065,0.7898 ± 0.1082,19,3.2,930.13
dataset_9,SVM,0.6629,0.0844,0.1057,0.0359,0.6629 ± 0.0844,0.1057 ± 0.0359,265,7.4,10630.76
dataset_9,KNN,0.9474,0.0095,0.6914,0.0784,0.9474 ± 0.0095,0.6914 ± 0.0784,265,7.4,10630.77
dataset_9,DT,0.9668,0.0069,0.7691,0.054,0.9668 ± 0.0069,0.7691 ± 0.0540,265,7.4,10630.77
dataset_9,RF,0.9762,0.0065,0.8144,0.058,0.9762 ± 0.0065,0.8144 ± 0.0580,265,7.4,10630.78
dataset_9,MLP,0.8988,0.0312,0.3239,0.177,0.8988 ± 0.0312,0.3239 ± 0.1770,265,7.4,10630.79
dataset_10,SVM,0.7133,0.1089,0.1122,0.029,0.7133 ± 0.1089,0.1123 ± 0.0290,265,13.7,13522.54
dataset_10,KNN,0.9242,0.0073,0.4158,0.0274,0.9242 ± 0.0073,0.4158 ± 0.0274,265,13.7,13522.55
dataset_10,DT,0.9335,0.0068,0.4428,0.0459,0.9335 ± 0.0068,0.4428 ± 0.0459,265,13.7,13522.56
