Dataset,Fold,N_Features_Before,N_Features_After,Selected_Features,Accuracy,F1,Best_Kernel,Best_C,Best_Gamma,Parameters,Fold_Time_Seconds,Classifier,Best_K,Best_Metric,Best_Max_Depth,Best_Min_Split,Best_Criterion,Best_N_Estimators,Best_Hidden_Layers,Best_Learning_Rate,Best_Alpha
dataset_7,1,19,3,"F1, F2, F13",0.9979,0.7402,,,,"{'metric': 'manhattan', 'n_neighbors': 3}",0.38,KNN,3.0,manhattan,,,,,,,
dataset_7,2,19,2,"F1, F2",1.0,1.0,,,,"{'metric': 'euclidean', 'n_neighbors': 3}",0.4,KNN,3.0,euclidean,,,,,,,
dataset_7,3,19,4,"F1, F2, F5, F13",0.9979,0.7402,,,,"{'metric': 'euclidean', 'n_neighbors': 5}",0.4,KNN,5.0,euclidean,,,,,,,
dataset_7,4,19,3,"F1, F2, F13",0.999,0.9933,,,,"{'metric': 'euclidean', 'n_neighbors': 3}",0.4,KNN,3.0,euclidean,,,,,,,
dataset_7,5,19,3,"F1, F2, F5",1.0,1.0,,,,"{'metric': 'euclidean', 'n_neighbors': 3}",0.42,KNN,3.0,euclidean,,,,,,,
dataset_7,6,19,3,"F1, F5, F13",0.999,0.7449,,,,"{'metric': 'euclidean', 'n_neighbors': 3}",0.38,KNN,3.0,euclidean,,,,,,,
dataset_7,7,19,3,"F1, F5, F13",0.9979,0.7398,,,,"{'metric': 'euclidean', 'n_neighbors': 3}",0.38,KNN,3.0,euclidean,,,,,,,
dataset_7,8,19,3,"F1, F2, F13",0.9958,0.7303,,,,"{'metric': 'euclidean', 'n_neighbors': 5}",0.39,KNN,5.0,euclidean,,,,,,,
dataset_7,9,19,4,"F1, F2, F5, F13",0.9969,0.9848,,,,"{'metric': 'manhattan', 'n_neighbors': 3}",0.42,KNN,3.0,manhattan,,,,,,,
dataset_7,10,19,4,"F1, F2, F5, F13",0.9979,0.7398,,,,"{'metric': 'euclidean', 'n_neighbors': 3}",0.43,KNN,3.0,euclidean,,,,,,,
